playerID,gameDate,pitch,mph,spinRate,pitcher,batter,evMph,la,distance,zone,pitchCount,inning,pitchResult,paResult,recID,batterID,batterResult,hitType,hitSpeed,videoLink
506433,2023/08/04 0:00,ST,80.9,2627,YU DARVISH,FREDDIE FREEMAN,,,,4,0-0,Top 1,Called Strike,Freddie Freeman pops out softly to third baseman Manny Machado.,184944,518692,pops out,,soft,https://baseballsavant.mlb.com/sporty-videos?playId=9a4b33e8-83a9-4260-a7f2-84f02886418f
506433,2023/08/04 0:00,SI,95.4,1980,YU DARVISH,MOOKIE BETTS,95.6,-6,19,4,1-0,Top 1,Hit Into Play,Mookie Betts singles on a ground ball to left fielder Juan Soto.,184945,605141,singles,ground ball,sharp,https://baseballsavant.mlb.com/sporty-videos?playId=71de9232-07ac-49cb-9300-7df4b51a1218
506433,2023/08/19 0:00,SL,87.6,2762,YU DARVISH,TOMMY PHAM,,,,8,03月02日,Top 1,Swinging Strike,Tommy Pham strikes out swinging.,184682,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=e2d6f330-c224-4c56-93a8-95347072728b
506433,2023/08/19 0:00,SL,88.2,2855,YU DARVISH,TOMMY PHAM,,,,11,02月02日,Top 1,Ball,Tommy Pham strikes out swinging.,184683,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=88ebcf1d-26f1-4f81-8eea-e1bcb1885e9e
506433,2023/08/19 0:00,SI,95,2205,YU DARVISH,TOMMY PHAM,,,,14,02月02日,Top 1,Foul,Tommy Pham strikes out swinging.,184684,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=aadce65c-9369-484d-b1e2-ecaf785a1ac1
506433,2023/08/19 0:00,KC,81.6,2707,YU DARVISH,TOMMY PHAM,,,,14,01月02日,Top 1,Blocked Ball,Tommy Pham strikes out swinging.,184685,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=e1f3dc96-4912-4637-8aa3-434e277518b9
506433,2023/08/19 0:00,ST,84.2,2876,YU DARVISH,TOMMY PHAM,71.7,46,199,14,01月02日,Top 1,Foul,Tommy Pham strikes out swinging.,184686,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=a5bf900d-6a46-4b5e-bba4-9dda20f9df59
506433,2023/08/19 0:00,SI,95.3,2236,YU DARVISH,TOMMY PHAM,,,,9,0-2,Top 1,Ball,Tommy Pham strikes out swinging.,184687,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=3cda2fed-7a0c-4ab8-8268-afb714bba35e
506433,2023/08/19 0:00,FF,95.1,2325,YU DARVISH,TOMMY PHAM,79.6,59,193,2,0-1,Top 1,Foul,Tommy Pham strikes out swinging.,184688,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=bfbcbee4-25f9-496b-b2d3-ba7ef8a3f32a
506433,2023/08/19 0:00,FF,95.3,2268,YU DARVISH,TOMMY PHAM,84.8,64,179,6,0-0,Top 1,Foul,Tommy Pham strikes out swinging.,184689,502054,strikes out swinging,,,https://baseballsavant.mlb.com/sporty-videos?playId=9fcc0ace-6060-4601-9cc1-6d43f09ae3bd
506433,2023/08/19 0:00,SL,87.6,2814,YU DARVISH,KETEL MARTE,83.1,33,282,5,1-0,Top 1,Hit Into Play,Ketel Marte flies out to left fielder Ben Gamel.,184690,606466,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=6d2e6f2b-e496-4a79-9e94-da409edfa585
506433,2023/08/19 0:00,FF,95.7,2327,YU DARVISH,KETEL MARTE,,,,14,0-0,Top 1,Ball,Ketel Marte flies out to left fielder Ben Gamel.,184691,606466,flies out,,medium,https://baseballsavant.mlb.com/sporty-videos?playId=d72b9f7c-4227-4581-84b2-8807ae68aa9e
506433,2023/08/19 0:00,FC,91.2,2543,YU DARVISH,CORBIN CARROLL,,,,14,01月01日,Top 1,Hit By Pitch,Corbin Carroll hit by pitch.,184692,682998,hit by pitch,,,https://baseballsavant.mlb.com/sporty-videos?playId=e8259483-324f-4c9c-9948-a93be3eac96d
506433,2023/08/19 0:00,FC,91.7,2528,YU DARVISH,CORBIN CARROLL,,,,14,0-1,Top 1,Ball,Corbin Carroll hit by pitch.,184693,682998,hit by pitch,,,https://baseballsavant.mlb.com/sporty-videos?playId=188369c4-c407-4353-9c92-a9f99ebf2de1
